seed,t_s,objective_currency
6,6.3832666873931885,5007.193028
6,7.592111349105835,5001.101628
6,8.58466362953186,4996.801628
6,9.184154033660889,4978.965478
6,9.526570320129395,1814.247026
6,11.424578666687012,1813.857546
6,13.316060543060303,1720.302646
6,14.490913152694702,1720.301451
6,14.497584342956543,1720.300256
6,14.513477325439453,1720.299061
6,14.51757025718689,1720.297866
6,14.521540403366089,1720.296671
6,14.526524782180786,1720.295476
6,14.530585765838623,1720.294281
6,14.536224842071533,1720.293086
6,14.544089317321777,1720.291891
6,14.55106520652771,1720.290696
6,14.558462381362915,1720.289501
6,14.565359592437744,1720.288306
6,14.572524309158325,1720.287111
6,14.579007387161255,1720.285916
6,14.677242279052734,906.134165
6,17.97782850265503,904.202915
6,18.774746656417847,901.185165
6,21.209357500076294,901.169715
6,33.386308670043945,897.252976
6,41.89216327667236,895.937692
6,41.95112442970276,895.937649
6,41.95528030395508,895.937606
6,41.959975481033325,895.937563
6,41.96576404571533,895.93752
6,41.96962809562683,895.937477
6,41.990190267562866,895.937434
6,41.997705698013306,895.937391
6,42.00498175621033,895.937348
6,42.00918769836426,895.937305
6,42.013630867004395,895.937262
6,42.01778221130371,895.937219
6,42.02202081680298,895.937176
6,42.02629828453064,895.937133
6,42.03288650512695,895.93709
6,42.042298555374146,895.937047
6,42.04688096046448,895.937004
6,42.09940958023071,895.936961
6,42.106088161468506,895.936918
6,42.113914251327515,895.936875
6,42.1212375164032,895.936832
6,42.128069162368774,895.936789
6,42.14024782180786,895.936746
6,42.15115761756897,895.936703
6,42.16559553146362,895.93666
6,42.64341115951538,895.936617
6,42.64911389350891,895.936574
6,42.65388107299805,895.936531
6,42.66033720970154,895.936488
6,42.67315983772278,895.936445
6,42.72363090515137,895.936402
6,42.728787660598755,895.936359
6,42.736746311187744,895.936316
6,42.74438548088074,895.936273
6,42.75440764427185,895.93623
6,42.76124024391174,895.936187
6,42.76763343811035,895.936144
6,43.28691792488098,895.717919
6,44.488415002822876,895.702469
6,45.84847354888916,895.372869
6,47.76757621765137,895.017019
6,49.65799117088318,890.634369
6,50.78650140762329,890.304769
6,52.90365743637085,886.436696
6,53.73910188674927,886.435501
6,55.065690755844116,884.980651
6,55.46312642097473,884.815851
6,55.50778675079346,883.373846
6,55.51174759864807,883.209046
6,55.729722023010254,883.207851
6,55.73405599594116,883.206656
6,55.75813674926758,883.205461
6,55.81816744804382,883.204266
6,55.82374024391174,883.203071
6,55.83022856712341,883.201876
6,55.83478808403015,883.200681
